"Year","Rnd","DT","OvPck","FrRnd","RdPck","Tm","Signed","Bonus","Name","Pos","WAR","G_bat","AB","HR","BA","OPS","G_pitch","W","L","ERA","WHIP","SV","Type","Drafted Out of"
"2005","2","","69","FrRnd","21","Athletics","Y","$525,000","Jared Lansford (minors)","RHP","","","","","","","","","","","","","HS","St. Francis HS (Mountain View, CA)"
"2005","2","","70","FrRnd","22","Cardinals via Giants","Y","$515,000","*Josh Wilson (minors)","RHP","","","","","","","","","","","","","HS","Whitehouse HS (Whitehouse, TX)"
"2005","2","","71","FrRnd","23","Angels","Y","$505,000","P.J. Phillips (minors)","SS","","","","","","","","","","","","","HS","Redan HS (Stone Mountain, GA)"
"2005","2","","72","FrRnd","24","Astros","Y","$485,000","Ralph Henriquez (minors)","C","","","","","","","","","","","","","HS","Key West HS (Key West, FL)"
"2005","2","","73","FrRnd","25","Twins","Y","$490,000","Kevin Slowey (minors)","RHP","4.4","45","39","0",".077",".225","137","43","36","4.62","1.32","0","4Yr","Winthrop University (Rock Hill, SC)"
"2005","2","","74","FrRnd","26","Dodgers","Y","$480,000","Josh Wall (minors)","RHP","-1.0","13","0","0","","","15","1","1","15.15","2.56","0","HS","Central Private HS (Greenwell Springs, LA)"
"2005","2","","75","FrRnd","27","Braves","Y","$475,000","Yunel Escobar (minors)","SS","26.8","1434","5315","90",".282",".736","","","","","","","",""
"2005","2","","76","FrRnd","28","Padres via Red Sox","Y","$465,000","*Nick Hundley (minors)","C","7.4","974","3097","93",".247",".703","","","","","","","4Yr","University of Arizona (Tucson, AZ)"
"2005","2","","77","FrRnd","29","Braves via Yankees","Y","$460,000","*Jeff Lyman (minors)","RHP","","","","","","","","","","","","","HS","Monta Vista HS (Cupertino, CA)"
"2005","2","","78","FrRnd","30","Cardinals","Y","$425,000","Nicholas Webber (minors)","RHP","","","","","","","","","","","","","4Yr","University of Central Missouri (Warrensburg, MO)"
"2005","2s","","79","FrRnd","31","Marlins","Y","$450,000","*Brett Hayes (minors)","C","-1.1","189","434","13",".205",".609","","","","","","","4Yr","University of Nevada, Reno (Reno, NV)"
"2005","2s","","80","FrRnd","32","Twins","Y","$475,000","*Drew Thompson (minors)","SS","","","","","","","","","","","","","HS","Jupiter HS (Jupiter, FL)"
"2005","3","","81","FrRnd","1","Diamondbacks","Y","$500,000","Jason Neighborgall (minors)","RHP","","","","","","","","","","","","","4Yr","Georgia Institute of Technology (Atlanta, GA)"
"2005","3","","82","FrRnd","2","Royals","Y","$445,000","Chris Nicoll (minors)","RHP","","","","","","","","","","","","","4Yr","University of California, Irvine (Irvine, CA)"
"2005","3","","83","FrRnd","3","Diamondbacks via Mariners","Y","$440,000","*Micah Owings (minors)","RHP","3.2","174","205","9",".283",".813","138","32","33","4.86","1.40","1","4Yr","Tulane University (New Orleans, LA)"
"2005","3","","84","FrRnd","4","Twins via Nationals","Y","$400,000","*Brian Duensing (minors)","LHP","6.2","139","12","0",".000",".077","484","46","38","4.19","1.39","3","4Yr","University of Nebraska-Lincoln (Lincoln, NE)"
"2005","3","","85","FrRnd","5","Brewers","Y","$500,000","Will Inman (minors)","RHP","","","","","","","","","","","","","HS","Tunstall HS (Dry Fork, VA)"
"2005","3","","86","FrRnd","6","Blue Jays","Y","$440,000","Brian Pettway (minors)","OF","","","","","","","","","","","","","4Yr","University of Mississippi (Oxford, MS)"
"2005","3","","87","FrRnd","7","Rockies","Y","","Kyle Hancock (minors)","RHP","","","","","","","","","","","","","HS","Rowlett HS (Rowlett, TX)"
